M/Z,Intensity
8.4441804,7.0915033
8.4898401,7.0915033
8.5357214,7.0882353
8.5818242,7.1143791
8.6281486,7.1143791
8.6746945,7.1437908
8.7214621,7.1633987
8.7684512,7.1699346
8.8156618,7.1568627
8.863094,7.1797386
8.9107478,7.1862745
8.9586232,7.1928105
9.0067201,7.2091503
9.0550386,7.2418301
9.1035786,7.2418301
9.1523402,7.245098
9.2013234,7.2679739
9.2505281,7.2581699
9.2999544,7.2352941
9.3496023,7.2058824
9.3994717,7.2124183
9.4495627,7.2189542
9.4998753,7.2091503
9.5504094,7.1830065
9.6011651,7.1568627
9.6521424,7.1405229
9.7033412,7.1339869
9.7547616,7.120915
9.8064036,7.1078431
9.8582671,7.1045752
9.9103522,7.0980392
9.9626588,7.0980392
10.015187,7.0849673
10.067937,7.0849673
10.120908,7.0980392
10.174101,7.1045752
10.227516,7.1111111
10.281152,7.1013072
10.335009,7.0882353
10.389088,7.1176471
10.443389,7.127451
10.497911,7.127451
10.552655,7.124183
10.607621,7.1470588
10.662808,7.1437908
10.718216,7.1535948
10.773846,7.1568627
10.829698,7.1601307
10.885771,7.1437908
10.942066,7.1372549
10.998582,7.1405229
11.05532,7.124183
11.11228,7.120915
11.169461,7.1045752
11.226864,7.1013072
11.284488,7.0947712
11.342334,7.0947712
11.400401,7.0915033
11.45869,7.0882353
11.5172,7.0784314
11.575932,7.0816993
11.634886,7.1045752
11.694061,7.120915
11.753458,7.1111111
11.813076,7.1013072
11.872916,7.120915
11.932977,7.130719
11.99326,7.1372549
12.053765,7.1437908
12.114491,7.1503268
12.175439,7.1666667
12.236608,7.1666667
12.297999,7.1633987
12.359611,7.1699346
12.421445,7.1830065
12.483501,7.1862745
12.545778,7.1895425
12.608276,7.1862745
12.670997,7.1895425
12.733938,7.1764706
12.797102,7.1568627
12.860487,7.1339869
12.924093,7.1339869
12.987921,7.120915
13.051971,7.124183
13.116242,7.130719
13.180735,7.1176471
13.245449,7.120915
13.310385,7.1143791
13.375542,7.124183
13.440921,7.1045752
13.506522,7.1111111
13.572344,7.1176471
13.638387,7.1078431
13.704653,7.127451
13.771139,7.1437908
13.837848,7.1437908
13.904778,7.1470588
13.971929,7.1437908
14.039302,7.1470588
14.106897,7.1830065
14.174713,7.1764706
14.242751,7.1666667
14.31101,7.1830065
14.379491,7.1764706
14.448194,7.1601307
14.517118,7.1437908
14.586263,7.1405229
14.65563,7.1143791
14.725219,7.1111111
14.795029,7.127451
14.865061,7.120915
14.935315,7.0980392
15.00579,7.0947712
15.076486,7.0882353
15.147404,7.0915033
15.218544,7.0849673
15.289905,7.1045752
15.361488,7.1111111
15.433292,7.0915033
15.505318,7.1013072
15.577566,7.1013072
15.650035,7.120915
15.722725,7.1176471
15.795638,7.1437908
15.868771,7.1535948
15.942127,7.1372549
16.015703,7.1437908
16.089502,7.1503268
16.163522,7.1470588
16.237764,7.1568627
16.312227,7.1732026
16.386911,7.1732026
16.461818,7.1568627
16.536946,7.1732026
16.612295,7.1568627
16.687866,7.1437908
16.763658,7.1437908
16.839673,7.1372549
16.915908,7.1372549
16.992365,7.120915
17.069044,7.127451
17.145945,7.120915
17.223066,7.1666667
17.30041,7.124183
17.377975,7.1111111
17.455762,7.2222222
17.53377,7.2189542
17.612,7.2941176
17.690451,7.3921569
17.769124,7.5751634
17.848018,7.4509804
17.927134,7.4183007
18.006472,7.5686275
18.086031,7.4673203
18.165812,7.5980392
18.245814,7.5784314
18.326038,7.6993464
18.406483,7.7058824
18.48715,7.6666667
18.568039,7.6535948
18.649149,7.879085
18.73048,7.6862745
18.812034,7.8137255
18.893808,7.627451
18.975805,7.630719
19.058023,7.496732
19.140462,7.5424837
19.223123,7.4901961
19.306006,7.4084967
19.38911,7.5424837
19.472436,7.4542484
19.555983,7.4771242
19.639752,7.4836601
19.723742,7.5130719
19.807954,7.6601307
19.892388,7.5424837
19.977043,7.5653595
20.06192,7.503268
20.147018,7.5294118
20.232338,7.4934641
20.317879,7.6895425
20.403642,7.7254902
20.489627,7.5228758
20.575833,7.5392157
20.66226,7.6078431
20.74891,7.4869281
20.83578,7.5457516
20.922873,7.7941176
21.010187,7.6633987
21.097722,7.5947712
21.185479,7.7843137
21.273458,7.624183
21.361658,7.7843137
21.45008,7.8235294
21.538723,7.6993464
21.627588,8.2222222
21.716674,8.1895425
21.805982,8.5555556
21.895512,8.6437908
21.985263,9.5326797
22.075236,11.496732
22.16543,9.4117647
22.255846,7.8235294
22.346483,7.5457516
22.437342,7.5555556
22.528423,7.3039216
22.619725,7.3496732
22.711248,7.375817
22.802993,7.2777778
22.89496,7.2973856
22.987149,7.254902
23.079559,7.245098
23.17219,7.2679739
23.265043,7.2745098
23.358118,7.2777778
23.451414,7.245098
23.544932,7.2189542
23.638671,7.2287582
23.732632,7.2581699
23.826814,7.2287582
23.921218,7.2418301
24.015844,7.2058824
24.110691,7.2352941
24.205759,7.2124183
24.30105,7.2254902
24.396561,7.1732026
24.492295,7.2418301
24.58825,7.1993464
24.684426,7.2679739
24.780824,7.3039216
24.877444,7.2973856
24.974285,7.2875817
25.071348,7.248366
25.168632,7.2189542
25.266138,7.2647059
25.363866,7.2712418
25.461815,7.2581699
25.559985,7.2973856
25.658377,7.248366
25.756991,7.2352941
25.855826,7.3006536
25.954883,7.248366
26.054162,7.3431373
26.153662,7.2843137
26.253383,7.3366013
26.353326,7.3529412
26.453491,7.5359477
26.553877,7.4052288
26.654485,7.4248366
26.755315,7.5392157
26.856365,7.8006536
26.957638,7.8594771
27.059132,7.748366
27.160848,8.254902
27.262785,9.248366
27.364944,10.552288
27.467324,8.0098039
27.569926,7.4901961
27.672749,7.4346405
27.775794,7.2973856
27.879061,7.248366
27.982549,7.2189542
28.086259,7.2026144
28.19019,7.1699346
28.294343,7.1535948
28.398717,7.1732026
28.503313,7.1601307
28.608131,7.1568627
28.71317,7.1633987
28.818431,7.1862745
28.923913,7.1633987
29.029617,7.1470588
29.135542,7.1764706
29.241689,7.1633987
29.348057,7.1405229
29.454647,7.1503268
29.561459,7.1666667
29.668492,7.1470588
29.775747,7.1405229
29.883223,7.130719
29.990921,7.1339869
30.098841,7.1568627
30.206982,7.124183
30.315344,7.1372549
30.423928,7.124183
30.532734,7.1437908
30.641761,7.1405229
30.75101,7.127451
30.860481,7.1372549
30.970173,7.1339869
31.080086,7.1405229
31.190221,7.1503268
31.300578,7.1535948
31.411156,7.1633987
31.521956,7.1666667
31.632977,7.1470588
31.74422,7.1339869
31.855685,7.1503268
31.967371,7.1895425
32.079278,7.1666667
32.191408,7.1666667
32.303758,7.1601307
32.416331,7.1437908
32.529125,7.1666667
32.64214,7.1568627
32.755377,7.1601307
32.868836,7.1405229
32.982516,7.1143791
33.096417,7.1111111
33.210541,7.124183
33.324886,7.1143791
33.439452,7.1078431
33.55424,7.1176471
33.669249,7.1143791
33.784481,7.1078431
33.899933,7.127451
34.015607,7.1437908
34.131503,7.1503268
34.247621,7.120915
34.363959,7.2156863
