M/Z,Intensity
3.6385026,7.1176471
3.6457969,7.0816993
3.6528696,7.0686275
3.6597208,7.0882353
3.6663505,7.0784314
3.6727585,7.0686275
3.678945,7.0653595
3.68491,7.0849673
3.6906533,7.0620915
3.6961751,7.0620915
3.7014754,7.0653595
3.706554,7.0588235
3.7114111,7.0588235
3.7160467,7.0522876
3.7204607,7.0555556
3.7246531,7.0359477
3.7286239,7.0392157
3.7323732,6.9411765
3.7359009,7.0294118
3.7392071,7.0882353
3.7422917,7.1013072
3.7451547,7.2973856
3.7477961,7.1862745
3.750216,7.1045752
3.7524144,7.0980392
3.7543911,7.4084967
3.7561463,7.3496732
3.75768,7.372549
3.758992,7.5
3.7600825,7.8104575
3.7609515,8.0261438
3.7615988,7.8235294
3.7620246,7.6176471
3.7622289,7.5130719
3.7622856,7.2679739
3.7625245,7.0784314
3.762985,7.0686275
3.763667,6.9607843
3.7645706,6.751634
3.7656957,6.7712418
3.7670424,6.8431373
3.7686107,6.8235294
3.7704005,6.7777778
3.772412,6.8496732
3.7746449,6.9444444
3.7770995,7.120915
3.7797756,7.2712418
3.7826732,7.3235294
3.7857925,7.4281046
3.7891333,7.4313725
3.7926956,7.4640523
3.7964795,7.4640523
3.800485,7.4444444
3.8047121,7.4084967
3.8091607,7.4313725
3.8138309,7.3986928
3.8187226,7.3039216
3.823836,7.2124183
3.8291708,7.1405229
3.8347273,7.1830065
3.8405053,7.245098
3.8465049,7.2941176
3.852726,7.3137255
3.8591687,7.3104575
3.865833,7.248366
3.8727188,7.251634
3.8798262,7.2941176
3.8871552,7.2745098
3.8947057,7.2385621
3.9024778,7.2156863
3.9104715,7.1437908
3.9186867,7.0784314
3.9271235,7.0653595
3.9357818,7.0522876
3.9446617,7.0588235
3.9537632,7.0522876
3.9630863,7.0457516
3.9726309,7.0490196
3.9823971,7.0588235
3.9923848,7.0588235
4.0025941,7.0588235
4.013025,7.0718954
4.0236774,7.1078431
4.0345514,7.1339869
4.045647,7.1666667
4.0569641,7.2124183
4.0685028,7.248366
4.0802631,7.2614379
4.0922449,7.2647059
