M/Z,Intensity
3.6385026,7.120915
3.6457969,7.0686275
3.6528696,7.0816993
3.6597208,7.0980392
3.6663505,7.0686275
3.6727585,7.0620915
3.678945,7.0784314
3.68491,7.0718954
3.6906533,7.0588235
3.6961751,7.0588235
3.7014754,7.0588235
3.706554,7.0620915
3.7114111,7.0555556
3.7160467,7.0555556
3.7204607,7.0522876
3.7246531,7.0294118
3.7286239,7.0228758
3.7323732,6.9738562
3.7359009,7.0424837
3.7392071,7.1078431
3.7422917,7.0980392
3.7451547,7.3169935
3.7477961,7.2385621
3.750216,7.1405229
3.7524144,7.1372549
3.7543911,7.3986928
3.7561463,7.3235294
3.75768,7.3986928
3.758992,7.5261438
3.7600825,7.8398693
3.7609515,8.0392157
3.7615988,7.8431373
3.7620246,7.620915
3.7622289,7.4869281
3.7622856,7.2058824
3.7625245,7.0686275
3.762985,7.0588235
3.763667,6.9542484
3.7645706,6.7843137
3.7656957,6.8039216
3.7670424,6.8333333
3.7686107,6.8169935
3.7704005,6.8006536
3.772412,6.8627451
3.7746449,6.9738562
3.7770995,7.1405229
3.7797756,7.2875817
3.7826732,7.3366013
3.7857925,7.4542484
3.7891333,7.4313725
3.7926956,7.4542484
3.7964795,7.4575163
3.800485,7.4477124
3.8047121,7.4215686
3.8091607,7.4281046
3.8138309,7.3823529
3.8187226,7.3137255
3.823836,7.2222222
3.8291708,7.1503268
3.8347273,7.1895425
3.8405053,7.2712418
3.8465049,7.3137255
3.852726,7.3235294
3.8591687,7.3071895
3.865833,7.2810458
3.8727188,7.251634
3.8798262,7.2647059
3.8871552,7.2679739
3.8947057,7.2091503
3.9024778,7.1895425
3.9104715,7.1176471
3.9186867,7.0915033
3.9271235,7.0555556
3.9357818,7.0555556
3.9446617,7.0490196
3.9537632,7.0555556
3.9630863,7.0457516
3.9726309,7.0522876
3.9823971,7.0555556
3.9923848,7.0555556
4.0025941,7.0653595
4.013025,7.0784314
4.0236774,7.1045752
4.0345514,7.1372549
4.045647,7.1699346
4.0569641,7.1764706
4.0685028,7.2091503
4.0802631,7.2287582
4.0922449,7.248366
4.1044483,7.251634
4.1168733,7.2875817
4.1295198,7.2581699
4.1423879,7.2385621
4.1554776,7.2320261
4.1687888,7.1928105
4.1823216,7.1928105
4.1960759,7.1764706
4.2100518,7.1601307
4.2242493,7.1176471
4.2386683,7.1111111
4.2533089,7.1013072
4.2681711,7.0915033
4.2832549,7.1045752
4.2985602,7.0947712
4.314087,7.1013072
4.3298355,7.120915
4.3458055,7.1633987
4.361997,7.1797386
4.3784101,7.2124183
4.3950448,7.2614379
4.4119011,7.2843137
4.4289789,7.2843137
4.4462783,7.3039216
4.4637993,7.2712418
4.4815418,7.2908497
4.4995059,7.2745098
4.5176915,7.2712418
4.5360987,7.1895425
4.5547275,7.1699346
4.5735778,7.130719
4.5926497,7.1111111
4.6119432,7.1045752
4.6314583,7.0980392
4.6511949,7.0686275
4.671153,7.0686275
4.6913328,7.0882353
4.711734,7.0849673
4.7323569,7.0555556
4.7532013,7.0718954
4.7742673,7.0784314
4.7955549,7.0980392
4.817064,7.130719
4.8387947,7.1470588
4.8607469,7.1830065
4.8829208,7.2124183
4.9053161,7.2189542
4.9279331,7.248366
4.9507716,7.2614379
4.9738317,7.2679739
4.9971133,7.2875817
5.0206165,7.2941176
5.0443413,7.3039216
5.0682876,7.2908497
5.0924555,7.2712418
5.116845,7.2647059
5.141456,7.2124183
5.1662886,7.1862745
5.1913428,7.1666667
5.2166185,7.1405229
5.2421158,7.0980392
5.2678347,7.0882353
5.2937751,7.0751634
5.3199371,7.0555556
5.3463206,7.0555556
5.3729257,7.0588235
5.3997524,7.0620915
5.4268006,7.0686275
5.4540705,7.0620915
5.4815618,7.0653595
5.5092748,7.0620915
5.5372093,7.0686275
5.5653653,7.0751634
5.593743,7.0947712
5.6223422,7.0947712
5.6511629,7.1045752
5.6802053,7.124183
5.7094692,7.1568627
5.7389546,7.2091503
5.7686617,7.251634
5.7985902,7.2745098
5.8287404,7.254902
5.8591121,7.2777778
5.8897054,7.3398693
5.9205202,7.3333333
5.9515567,7.3137255
5.9828146,7.3039216
