M/Z,Intensity
9.9626588,7.0947712
10.015187,7.0947712
10.067937,7.0882353
10.120908,7.0947712
10.174101,7.0882353
10.227516,7.1078431
10.281152,7.1078431
10.335009,7.120915
10.389088,7.130719
10.443389,7.130719
10.497911,7.124183
10.552655,7.1437908
10.607621,7.1437908
10.662808,7.1666667
10.718216,7.1372549
10.773846,7.1372549
10.829698,7.1437908
10.885771,7.1372549
10.942066,7.1339869
10.998582,7.130719
11.05532,7.120915
11.11228,7.124183
11.169461,7.124183
11.226864,7.1176471
11.284488,7.124183
11.342334,7.1176471
11.400401,7.1078431
11.45869,7.0882353
11.5172,7.0784314
11.575932,7.0816993
11.634886,7.0784314
11.694061,7.0784314
11.753458,7.0915033
11.813076,7.0980392
11.872916,7.1176471
11.932977,7.1143791
11.99326,7.1078431
12.053765,7.1372549
12.114491,7.1535948
12.175439,7.1633987
12.236608,7.1960784
12.297999,7.1993464
12.359611,7.1862745
12.421445,7.1601307
12.483501,7.1535948
12.545778,7.1535948
12.608276,7.1503268
12.670997,7.1470588
12.733938,7.1535948
12.797102,7.120915
12.860487,7.120915
12.924093,7.1143791
12.987921,7.0980392
13.051971,7.1078431
13.116242,7.1111111
13.180735,7.1111111
13.245449,7.124183
13.310385,7.1143791
13.375542,7.0980392
13.440921,7.1045752
13.506522,7.1078431
13.572344,7.1078431
13.638387,7.1045752
13.704653,7.1405229
13.771139,7.1503268
13.837848,7.1601307
13.904778,7.1470588
13.971929,7.1339869
14.039302,7.1372549
14.106897,7.127451
14.174713,7.1405229
14.242751,7.130719
14.31101,7.124183
14.379491,7.130719
14.448194,7.1372549
14.517118,7.1339869
14.586263,7.1045752
14.65563,7.0980392
14.725219,7.1078431
14.795029,7.0947712
14.865061,7.1013072
14.935315,7.0980392
15.00579,7.0882353
15.076486,7.0882353
15.147404,7.0915033
15.218544,7.0816993
15.289905,7.0849673
15.361488,7.0816993
15.433292,7.0915033
15.505318,7.0915033
15.577566,7.0849673
15.650035,7.0882353
15.722725,7.0915033
15.795638,7.1045752
15.868771,7.1111111
15.942127,7.124183
16.015703,7.1437908
16.089502,7.1372549
16.163522,7.1437908
16.237764,7.127451
16.312227,7.120915
16.386911,7.124183
16.461818,7.1176471
16.536946,7.120915
16.612295,7.127451
16.687866,7.124183
16.763658,7.1176471
16.839673,7.1078431
16.915908,7.1111111
16.992365,7.1111111
17.069044,7.127451
17.145945,7.1143791
17.223066,7.1176471
17.30041,7.1111111
17.377975,7.0947712
17.455762,7.0915033
17.53377,7.1111111
17.612,7.1176471
17.690451,7.1372549
17.769124,7.1405229
17.848018,7.130719
17.927134,7.1143791
18.006472,7.1143791
18.086031,7.120915
18.165812,7.1372549
18.245814,7.1633987
18.326038,7.1764706
18.406483,7.1830065
18.48715,7.1699346
18.568039,7.1633987
18.649149,7.1405229
18.73048,7.1143791
18.812034,7.1111111
18.893808,7.124183
18.975805,7.127451
19.058023,7.124183
19.140462,7.127451
19.223123,7.124183
19.306006,7.1111111
19.38911,7.1013072
19.472436,7.0849673
19.555983,7.0882353
19.639752,7.0849673
19.723742,7.0947712
19.807954,7.1013072
19.892388,7.1045752
19.977043,7.1143791
20.06192,7.1111111
20.147018,7.1045752
20.232338,7.1013072
20.317879,7.1176471
20.403642,7.127451
20.489627,7.124183
20.575833,7.120915
20.66226,7.124183
20.74891,7.1339869
20.83578,7.120915
20.922873,7.120915
21.010187,7.1045752
21.097722,7.1013072
21.185479,7.1013072
21.273458,7.1078431
21.361658,7.1143791
21.45008,7.1143791
21.538723,7.1111111
21.627588,7.1176471
21.716674,7.1045752
21.805982,7.1045752
21.895512,7.1013072
21.985263,7.0947712
22.075236,7.1111111
22.16543,7.1176471
22.255846,7.1111111
22.346483,7.0915033
22.437342,7.1045752
22.528423,7.1111111
22.619725,7.1176471
22.711248,7.1176471
22.802993,7.127451
22.89496,7.1143791
22.987149,7.124183
23.079559,7.124183
23.17219,7.120915
23.265043,7.1339869
23.358118,7.1503268
23.451414,7.1503268
23.544932,7.1470588
23.638671,7.1470588
23.732632,7.130719
23.826814,7.1176471
23.921218,7.1045752
24.015844,7.1143791
24.110691,7.1013072
24.205759,7.0980392
24.30105,7.0915033
24.396561,7.0849673
24.492295,7.1045752
24.58825,7.1078431
24.684426,7.124183
24.780824,7.1143791
24.877444,7.124183
24.974285,7.1405229
25.071348,7.124183
25.168632,7.124183
25.266138,7.124183
25.363866,7.130719
25.461815,7.1176471
25.559985,7.130719
25.658377,7.130719
25.756991,7.120915
25.855826,7.1078431
25.954883,7.124183
26.054162,7.1111111
26.153662,7.1143791
26.253383,7.1372549
26.353326,7.1470588
26.453491,7.1503268
26.553877,7.124183
26.654485,7.120915
26.755315,7.1176471
26.856365,7.1013072
26.957638,7.0980392
27.059132,7.1143791
27.160848,7.1045752
27.262785,7.1045752
27.364944,7.0947712
27.467324,7.0947712
27.569926,7.1176471
27.672749,7.120915
27.775794,7.1078431
27.879061,7.1111111
27.982549,7.1045752
28.086259,7.124183
28.19019,7.1143791
28.294343,7.124183
28.398717,7.1078431
28.503313,7.1176471
28.608131,7.1111111
28.71317,7.1078431
28.818431,7.1045752
28.923913,7.1405229
29.029617,7.1372549
29.135542,7.127451
29.241689,7.1045752
29.348057,7.130719
29.454647,7.0980392
29.561459,7.1111111
29.668492,7.1078431
29.775747,7.1078431
29.883223,7.120915
29.990921,7.120915
30.098841,7.1045752
30.206982,7.120915
30.315344,7.120915
30.423928,7.124183
30.532734,7.127451
30.641761,7.124183
30.75101,7.1176471
30.860481,7.1045752
30.970173,7.1143791
31.080086,7.127451
31.190221,7.120915
31.300578,7.120915
31.411156,7.1372549
31.521956,7.127451
31.632977,7.130719
31.74422,7.1013072
31.855685,7.1176471
31.967371,7.130719
32.079278,7.120915
32.191408,7.120915
32.303758,7.1339869
32.416331,7.1339869
32.529125,7.1503268
32.64214,7.1176471
32.755377,7.120915
32.868836,7.120915
32.982516,7.1143791
33.096417,7.1111111
33.210541,7.1176471
33.324886,7.127451
33.439452,7.1143791
33.55424,7.1045752
33.669249,7.1013072
33.784481,7.0849673
33.899933,7.0849673
34.015607,7.0784314
34.131503,7.0915033
34.247621,7.0980392
34.363959,7.1078431
34.48052,7.0784314
34.597302,7.1176471
34.714306,7.1111111
34.831531,7.1339869
34.948978,7.1405229
35.066646,7.1405229
35.184536,7.124183
35.302647,7.130719
35.42098,7.1143791
35.539535,7.1045752
35.658311,7.120915
35.777309,7.0947712
35.896528,7.1111111
36.015969,7.0915033
36.135631,7.0980392
36.255515,7.0882353
36.375621,7.0882353
36.495948,7.0980392
36.616496,7.1143791
36.737266,7.1143791
36.858258,7.120915
36.979472,7.1045752
37.100907,7.120915
37.222563,7.1111111
37.344441,7.1045752
37.466541,7.130719
37.588862,7.1143791
37.711405,7.1111111
37.834169,7.1143791
37.957155,7.120915
38.080362,7.120915
38.203791,7.1339869
38.327442,7.1111111
38.451314,7.1111111
