M/Z,Intensity
3.6385026,7.1013072
3.6457969,7.0686275
3.6528696,7.0686275
3.6597208,7.0882353
3.6663505,7.0686275
3.6727585,7.0620915
3.678945,7.0882353
3.68491,7.0980392
3.6906533,7.0620915
3.6961751,7.0620915
3.7014754,7.0653595
3.706554,7.0653595
3.7114111,7.0555556
3.7160467,7.0620915
3.7204607,7.0522876
3.7246531,7.0294118
3.7286239,7.0196078
3.7323732,6.9673203
3.7359009,7.0457516
3.7392071,7.0915033
3.7422917,7.0947712
3.7451547,7.3104575
3.7477961,7.2156863
3.750216,7.120915
3.7524144,7.1143791
3.7543911,7.3888889
3.7561463,7.3333333
3.75768,7.3921569
3.758992,7.5555556
3.7600825,7.8300654
3.7609515,8.0522876
3.7615988,7.8431373
3.7620246,7.5588235
3.7622289,7.4836601
3.7622856,7.2222222
3.7625245,7.0555556
3.762985,7.0555556
3.763667,6.9771242
3.7645706,6.8169935
3.7656957,6.8562092
3.7670424,6.8856209
3.7686107,6.8333333
3.7704005,6.8235294
3.772412,6.875817
3.7746449,6.9640523
3.7770995,7.1764706
3.7797756,7.3137255
3.7826732,7.3823529
3.7857925,7.4607843
3.7891333,7.4477124
3.7926956,7.4771242
3.7964795,7.4640523
3.800485,7.4444444
3.8047121,7.4346405
3.8091607,7.4281046
3.8138309,7.3986928
3.8187226,7.3333333
3.823836,7.2287582
3.8291708,7.1470588
3.8347273,7.1797386
3.8405053,7.248366
3.8465049,7.248366
3.852726,7.2647059
3.8591687,7.2745098
3.865833,7.2385621
3.8727188,7.2124183
3.8798262,7.245098
3.8871552,7.2156863
3.8947057,7.2058824
3.9024778,7.1830065
3.9104715,7.130719
3.9186867,7.0816993
3.9271235,7.0588235
3.9357818,7.0490196
3.9446617,7.0490196
3.9537632,7.0522876
3.9630863,7.0522876
3.9726309,7.0555556
3.9823971,7.0588235
3.9923848,7.0588235
4.0025941,7.0620915
4.013025,7.0882353
4.0236774,7.0980392
4.0345514,7.1143791
4.045647,7.1405229
4.0569641,7.1568627
4.0685028,7.2058824
4.0802631,7.2418301
4.0922449,7.245098
4.1044483,7.2647059
4.1168733,7.2745098
4.1295198,7.2777778
4.1423879,7.251634
4.1554776,7.2058824
4.1687888,7.1895425
4.1823216,7.1928105
4.1960759,7.1568627
4.2100518,7.1470588
4.2242493,7.1176471
4.2386683,7.1045752
4.2533089,7.0980392
4.2681711,7.0980392
4.2832549,7.0980392
4.2985602,7.0947712
4.314087,7.1078431
4.3298355,7.130719
4.3458055,7.1372549
4.361997,7.1764706
4.3784101,7.2091503
4.3950448,7.2418301
4.4119011,7.2843137
4.4289789,7.3137255
4.4462783,7.2941176
4.4637993,7.3039216
4.4815418,7.3071895
4.4995059,7.254902
4.5176915,7.1960784
4.5360987,7.1732026
4.5547275,7.1503268
4.5735778,7.1111111
4.5926497,7.1078431
4.6119432,7.0882353
4.6314583,7.0882353
4.6511949,7.0816993
4.671153,7.0588235
4.6913328,7.0751634
4.711734,7.0816993
4.7323569,7.0751634
4.7532013,7.0751634
4.7742673,7.0816993
4.7955549,7.1176471
4.817064,7.124183
4.8387947,7.1535948
4.8607469,7.1928105
4.8829208,7.2091503
4.9053161,7.2222222
4.9279331,7.2777778
4.9507716,7.2679739
4.9738317,7.3137255
4.9971133,7.3464052
5.0206165,7.3202614
5.0443413,7.3071895
5.0682876,7.2973856
5.0924555,7.2712418
5.116845,7.2287582
5.141456,7.2254902
5.1662886,7.1633987
5.1913428,7.124183
5.2166185,7.1176471
5.2421158,7.0980392
5.2678347,7.0882353
5.2937751,7.0653595
5.3199371,7.0588235
5.3463206,7.0620915
5.3729257,7.0588235
5.3997524,7.0686275
5.4268006,7.0620915
5.4540705,7.0784314
5.4815618,7.0784314
5.5092748,7.0718954
5.5372093,7.0686275
5.5653653,7.0784314
5.593743,7.0816993
5.6223422,7.0947712
5.6511629,7.127451
5.6802053,7.1503268
5.7094692,7.1830065
5.7389546,7.2058824
5.7686617,7.2254902
